name,date,Organism_Name,Isolate,Species,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,GenBank_Title,Collection_Year,source,year
MZ130526,5/21/2014,dengue virus type 2,14052110,Orthoflavivirus denguei,10597,GenBank,partial,Cosmopolitan,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 2 isolate 14052110 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",2014,study,
MZ130546,1/8/2020,dengue virus type 1,20010742,Orthoflavivirus denguei,10575,GenBank,partial,related to genotype III,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate 20010742 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",2020,study,
MZ130547,1/31/2020,dengue virus type 1,20020472,Orthoflavivirus denguei,10575,GenBank,partial,related to genotype III,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate 20020472 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",2020,study,
OM920035,6/26/2018,dengue virus type 3,D3/TAN/37/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/37/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920036,6/13/2018,dengue virus type 3,D3/TAN/36/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/36/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920037,10/3/2017,dengue virus type 3,D3/TAN/06/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/06/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920038,11/24/2017,dengue virus type 3,D3/TAN/15/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/15/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920039,10/19/2017,dengue virus type 3,D3/TAN/10/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/10/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920040,9/9/2017,dengue virus type 3,D3/TAN/09/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/09/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920041,8/18/2017,dengue virus type 3,D3/TAN/07/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/07/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920042,10/3/2017,dengue virus type 3,D3/TAN/06/PW/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/06/PW/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920043,8/25/2017,dengue virus type 3,D3/TAN/02/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/02/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920044,8/25/2017,dengue virus type 3,D3/TAN/01/DAR/2017,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/01/DAR/2017 polyprotein, envelope protein E region, (POLY) gene, partial cds",2017,study,
OM920045,6/1/2018,dengue virus type 3,D3/TAN/33/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/33/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920046,5/18/2018,dengue virus type 3,D3/TAN/27/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/27/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920047,5/11/2018,dengue virus type 3,D3/TAN/23/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/23/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920048,4/27/2018,dengue virus type 3,D3/TAN/21/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/21/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920049,4/11/2018,dengue virus type 3,D3/TAN/20/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/20/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920050,4/9/2018,dengue virus type 3,D3/TAN/19/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/19/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
